Bedrijfnaam,Vestiging,Rapportdatum,Algemene voorwaarden kwaliteit en naleving,Veiligheid en gezondheid,Personeel en groepen,Pedagogisch klimaat,Accommodatie,Ouderrecht
Kindergarden,Kindergarden Delft Zuid,2023-10-24,1,1,1,1,0,0
Kindergarden,Kindergarden Almere Zwitserlandstraat,2022-10-20,0,0,0,0,0,0
Kindergarden,Kindergarden Almere Zwitserlandstraat,2022-10-20,0,0,0,0,0,0
CompaNanny,Test,2023-10-24,0,0,0,0,0,0
CompaNanny,Test,2023-10-24,0,0,0,0,0,0
CompaNanny,Test,2023-10-24,0,0,0,0,0,0
CompaNanny,Test,2023-10-24,0,0,0,0,0,0
CompaNanny,Test,2023-10-24,0,0,0,0,0,0
CompaNanny,Test,2023-10-24,0,0,0,0,0,0
CompaNanny,Test,2023-10-24,0,0,0,0,0,0
CompaNanny,Test,2023-10-24,0,0,0,0,0,0
CompaNanny,Test,2023-10-24,0,0,0,0,0,0
Partou,BSO Partou Brugstraat 72B,2024-07-02,0,1,0,1,0,0
CompaNanny,CompaNanny Amstel,2024-07-01,0,0,0,0,0,0
Partou,BSO Partou Fluitenkruid 10,2023-10-02,0,1,1,1,0,0
Partou,BSO Partou Fluitenkruid 10,2023-10-02,0,1,1,1,0,0
Partou,BSO Partou Fluitenkruid 10,2023-10-02,0,1,1,1,0,0
Partou,BSO Partou Fluitenkruid 10,2023-10-02,0,1,1,1,0,0
Partou,BSO Partou Fluitenkruid 10,2023-10-02,0,1,1,1,0,0
Partou,BSO Partou Fluitenkruid 10,2023-10-02,0,1,1,1,0,0
